EmpID	MonthlySalary	FedTax	ABTax	CPP	EI	OptRSP
E55001	5600	681.85	365.8	289.3	88.48	280
E55002	10000	1679.45	812.5	529.07	158	200
E55003	6100	788.45	412.6	316.55	96.38	0
E55004	5400	639.2	345	278.4	85.32	0
E55005	9400	1533.85	742.5	496.37	148.52	282
E55006	7300	1033.65	532.2	381.95	115.34	365
E55007	5600	681.85	365.8	289.3	88.48	112
E55008	3500	300.35	165.5	174.85	55.3	0
E55009	6800	927.05	485.4	354.7	107.44	0
E55010	8400	1279.05	644.5	441.87	132.72	252
E55011	5000	565.55	305.05	256.6	79	0
E55012	9600	1588.45	763.5	507.27	151.68	480
E55013	5400	639.2	345	278.4	85.32	0
E55014	7800	1135.55	584.2	409.17	123.24	390
E55015	2800	205.5	99.65	136.7	44.24	112
E55016	7900	1149.9	595.5	414.62	124.82	395
E55017	6600	884.4	464.6	343.8	104.28	0
E55018	7200	1012.3	527	376.5	113.76	0
E55019	5200	607.25	324.2	267.5	82.16	0
E55020	9000	1424.65	707.5	474.57	142.2	180
E55021	8500	1297.25	651.5	447.32	134.3	425
E55022	2900	229.25	109.7	142.15	45.82	0
E55023	2700	189.6	91.3	131.25	42.66	108
E55024	3600	314.6	174.95	180.3	56.88	36
E55025	2800	205.5	99.65	136.7	44.24	0
E55026	5400	639.2	345	278.4	85.32	270
E55027	9400	1533.85	742.5	496.37	148.52	0
E55028	7700	1121.2	573.8	403.72	121.66	0
E55029	2900	229.25	109.7	142.15	45.82	145
E55030	5300	617.9	334.6	272.95	83.74	0
E55031	7400	1054.95	542.6	387.4	116.92	148
E55032	9600	1588.45	763.5	507.27	151.68	288
E55033	8000	1178.6	602.5	420.07	126.4	400
E55034	5800	724.5	386.6	300.2	91.64	290
E55035	4700	504.15	276.1	240.25	74.26	0
E55036	3400	286.15	156	169.4	53.72	170
E55037	6300	831.1	433.4	327.45	99.54	63
E55038	3600	314.6	174.95	180.3	56.88	72
E55039	3400	286.15	156	169.4	53.72	0
E55040	4200	406.3	231.85	213	66.36	210
E55041	3400	286.15	156	169.4	53.72	0
E55042	5300	617.9	334.6	272.95	83.74	106
E55043	6200	809.8	423	322	97.96	0
E55044	8500	1297.25	651.5	447.32	134.3	425
E55045	9000	1424.65	707.5	474.57	142.2	450
E55046	7500	1078.15	553	392.85	118.5	0
E55047	7500	1078.15	553	392.85	118.5	150
E55048	8500	1297.25	651.5	447.32	134.3	425
E55049	6300	831.1	433.4	327.45	99.54	126
E55050	7200	1012.3	527	376.5	113.76	0
E55051	7400	1054.95	542.6	387.4	116.92	222
E55052	9300	1497.45	735.5	490.92	146.94	186
E55053	7900	1149.9	595.5	414.62	124.82	0
E55054	9700	1606.65	777.5	512.72	153.26	485
E55055	8800	1370.05	686.5	463.67	139.04	0
E55056	4900	545.1	295.4	251.15	77.42	0
E55057	4200	406.3	231.85	213	66.36	42
E55058	10000	1679.45	812.5	529.07	158	200
E55059	8100	1192.95	616.5	425.52	127.98	405
E55060	7300	1033.65	532.2	381.95	115.34	219
E55061	6300	831.1	433.4	327.45	99.54	0
E55062	8100	1192.95	616.5	425.52	127.98	324
E55063	6600	884.4	464.6	343.8	104.28	0
E55064	4300	426.15	241.35	218.45	67.94	0
E55065	3900	357.25	203.4	196.65	61.62	117
E55066	8700	1351.85	672.5	458.22	137.46	261
E55067	6500	873.75	454.2	338.35	102.7	0
E55068	3000	233.95	119.75	147.6	47.4	60
E55069	6200	809.8	423	322	97.96	310
E55070	7500	1078.15	553	392.85	118.5	375
E55071	8400	1279.05	644.5	441.87	132.72	420
E55072	8100	1192.95	616.5	425.52	127.98	162
E55073	8300	1242.65	637.5	436.42	131.14	415
E55074	7200	1012.3	527	376.5	113.76	72
E55075	8300	1242.65	637.5	436.42	131.14	0
E55076	3400	286.15	156	169.4	53.72	34
E55077	9900	1661.25	791.5	523.62	156.42	297
E55078	2600	177.05	81.25	125.8	41.08	0
E55079	2900	229.25	109.7	142.15	45.82	29
E55080	9800	1643.05	784.5	518.17	154.84	490
E55081	9500	1552.05	756.5	501.82	150.1	380
E55082	3500	300.35	165.5	174.85	55.3	140
E55083	6700	905.7	475	349.25	105.86	67
E55084	3900	357.25	203.4	196.65	61.62	0
E55085	7800	1135.55	584.2	409.17	123.24	0
E55086	2600	177.05	81.25	125.8	41.08	26
E55087	4700	504.15	276.1	240.25	74.26	94
E55088	10000	1679.45	812.5	529.07	158	500
E55089	8600	1315.45	665.5	452.77	135.88	258
E55090	5100	586.05	314.05	262.05	80.58	0
E55091	9400	1533.85	742.5	496.37	148.52	470
E55092	7200	1012.3	527	376.5	113.76	216
E55093	8900	1406.45	693.5	469.12	140.62	356
E55094	4400	446	247.65	223.9	69.52	88
E55095	6400	852.4	443.8	332.9	101.12	0
E55096	7300	1033.65	532.2	381.95	115.34	73
E55097	6100	788.45	412.6	316.55	96.38	305
E55098	6900	948.35	495.8	360.15	109.02	0
E55099	3200	262.4	137.05	158.5	50.56	0
E55100	3900	357.25	203.4	196.65	61.62	117
